monomer_smiles,delta_S
C=C1CCCOC1=O,-179.5269794381225
C=C1CCOC1=O,-185.88244747459106
CC(C)(C)C1CCOC(=O)CC1,null
CC(C)(C)OC(=O)N1CCOC(=O)C1,null
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1C(=O)S2,null
CC(C)C1CCOC(=O)CC1,null
CC(C)[C@@H]1CC[C@@H](C)CC(=O)O1,null
CC1(C)CCOC(=O)CC1,null
CC1(C)COC(=O)OC1,null
CC1(C)COC1=O,-195.87029203531932
CC1(C)COC2(CCOC(=O)CC2)OC1,null
CC1(C)SCCSC1=O,null
CC1(C)[C@H]2CCC(=O)O[C@@H]1C2,null
CC1(c2ccccc2)COC(=O)OC1,null
CC1=CCC(=O)O1,-180.9930239271865
CC1CC(=O)O1,-179.2748018435036
CC1CCC(=O)OC1,-185.42541088371945
CC1CCCC(=O)O1,-179.9893336261268
CC1CCCOC1=O,-179.5269794381225
CC1CCCSC1=O,-179.0343892580415
CC1CCOC(=O)C1,-180.50147004612055
CC1CCOC(=O)CC1,null
CC1CCOC(=O)O1,-187.46057831733555
CC1COC(=O)CC(C)C1,null
CC1COCC(=O)OCC(C)COCC(=O)OC1,null
CC1OC(=O)C(C)OC1=O,null
CC1OC(=O)C(C)SC1=O,null
CC1OC(=O)CCOC(=O)C(C)OC(=O)CCOC1=O,null
CC1OCCC(=O)O1,-184.78640621870426
CC1OCCOC1=O,-188.95046653939067
CC1SC(=O)C(C)SC1=O,null
CC1SCCSC1=O,-185.7172887821765
CCC1(CC)COC(=O)OC1,null
CCC1(c2ccccc2)COC(=O)OC1,null
CCC1CCCC(=O)O1,null
CCC1CCCOC1=O,-179.9776720431699
CCC1CCOC(=O)CC1,null
CCCC1CCCC(=O)O1,null
CCCC1CCCOC1=O,null
CCCCC1CCCC(=O)O1,null
CCCCC1CCCOC1=O,null
CCCCCC1CCCC(=O)O1,null
CCCCCC1CCCOC1=O,null
CCCCCCC1CCCC(=O)O1,null
CCCCCCC1CCCOC1=O,null
CCCCCCCC1CCCC(=O)O1,null
CCCCCCCCCC1CCCC(=O)O1,null
C[C@@H]1CC(=O)O[C@@H]2CCCC[C@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCCC[C@@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCC[C@@H]2O1,null
C[C@@H]1OC(=O)[C@H](C)OC1=O,null
C[C@@H]1OCCCOC(=O)[C@H](C)OCCCOC1=O,null
Cc1cn([C@H]2C[C@H]3OC(=O)OC[C@H]3O2)c(=O)n(C)c1=O,null
O=C1CCC2(CCO1)OCCCCO2,null
O=C1CCC2(CCO1)OCCCO2,null
O=C1CCC2(CCO1)OCCO2,null
O=C1CCCCCCCC/C=C/CCCCCO1,null
O=C1CCCCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCO1,null
O=C1CCCCCCCO1,null
O=C1CCCCCCO1,-168.8087802119881
O=C1CCCCCN1,-172.77988632634398
O=C1CCCCCO1,-173.05079872124864
O=C1CCCCCS1,-172.48918462949422
O=C1CCCCN1,-183.26184188598347
O=C1CCCCO1,-174.92824721684536
O=C1CCCCS1,-180.68769642386323
O=C1CCCN1,-183.1835360539219
O=C1CCCO1,-180.58983515223093
O=C1CCO1,-172.08565159502797
O=C1CN(Cc2ccccc2)CCO1,null
O=C1CN(c2ccccc2)CCO1,null
O=C1COC(=O)CO1,null
O=C1COCCO1,-174.25811823106292
O=C1COCCOCCOCCOCCO1,null
O=C1COCCS1,-185.87804683529546
O=C1CSCCO1,-175.66985734060015
O=C1CSCCS1,-175.26129626448434
O=C1C[C@@H]2CCCC[C@H]2O1,null
O=C1Cc2ccccc2CCO1,null
O=C1NC2CCC1C2,null
O=C1NC2CCCC1C2,null
O=C1OC2CCC1CC2,null
O=C1OCCCO1,-173.10104750645678
O=C1OC[C@@H]2CCCC[C@@H]12,null
O=C1OC[C@H]2C[C@@H]3C=C[C@]12O3,null
O=C1OC[C@H]2C[C@@H]3CC[C@]12O3,null
O=C1O[C@H]2CC[C@@H]1CC2,null
S=C1CCCCCO1,-174.70263607856597
S=C1O[C@H]2C=CCO[C@@H]2CS1,null
S=C1O[C@H]2CCCO[C@@H]2CS1,null
